id,title,status,action,time_min,context,cost,priority,blocked_by,decision_needed,doc_link,requires_car_down,requires_parts,notes
STREET-001,Finish installing upgraded harmonic balancer,ready,install,60,garage,0,high,,,PROJECT.md#6-known-replacement-drivetrain-hardware,false,true,Complete current engine assembly work; verify make/model while accessible
STREET-002,Verify built-engine records for compression ratio valves and balancer,ready,document,45,desk,0,medium,,,PROJECT.md#6-known-replacement-drivetrain-hardware,false,false,Current recollection is about 9.5:1 compression stainless valves and ATI balancer; record confirmed values only
STREET-003,Check and record built-2ZZ valve clearance,ready,measure,60,garage,0,high,,,PROJECT.md#6-known-replacement-drivetrain-hardware,false,false,Verify before final installation and commissioning
STREET-004,Identify tuner for interim EMU Black commissioning,ready,research,45,phone,,high,,,PROJECT.md#3-program-sequence,false,false,Find someone capable of current-engine EMU commissioning who can potentially continue into final built-engine tuning
STREET-005,Install return-style fuel system on current engine,ready,install,240,garage,0,high,,,BASELINE_PLUS.md#1-purpose,true,true,Use owned MWR rail/return hardware AEM FPR and AEM pump; integrate flex fuel and Link MIPS fuel-pressure sensing for Baseline Plus
STREET-006,Install EMU Black on current engine using MWR adapter and DBW bypass,blocked,install,240,garage,0,critical,STREET-004;STREET-005;STREET-011;STREET-012;STREET-014;STREET-015;STREET-016;STREET-017;STREET-018;STREET-019,,BASELINE_PLUS.md#5-dbw--vvt-jumper-modification,true,true,Retain MWR PCB/body integration but bypass selected EMU pins through the Baseline Plus sub-harness; delete cable throttle and IAC; move VVT to AUX6 with proper switched-12V/low-side conversion; use HB1A/HB1B for ETB
STREET-007,Tune and validate current engine on EMU Black with DBW,blocked,vehicle-test,240,car,,critical,STREET-006,,BASELINE_PLUS.md#7-protection-and-control-strategy-enabled-by-baseline-plus,false,false,Commission fuel system DBW idle VVT/VVL flex fuel lambda fuel/oil pressure protection and EMU-native boost control; validate cold/hot behavior diagnostics and tuner relationship before the major swap
STREET-008,Select and buy proper street-performance tires before higher-power use,ready,buy,45,phone,,high,,,PROJECT.md#3-program-sequence,false,true,Current tire setup is already inadequate for existing power; solve this before making significantly more output usable
STREET-009,Mock up cheap TD05-style manifold and 20G on spare drivetrain package,backlog,mockup,90,garage,0,medium,,,PROJECT.md#8-turbo--hot-side-architecture,false,true,Opportunity investigation only; evaluate sidewinder packaging without treating the hardware as selected architecture
STREET-010,Freeze final EMU I/O map before purchasing broad final sensor package,blocked,document,90,computer,0,high,STREET-007,,PROJECT.md#5-controls-strategy,false,false,Baseline Plus interim I/O is frozen in BASELINE_PLUS.md; this task remains for the final custom-harness allocation after DBW flex turbo CAN expansion and tuner inputs mature
STREET-011,Capture PowerFC electrical and MPX baseline before ECU removal,ready,vehicle-test,120,car,0,critical,,,PRE_EMU_BASELINE.md#capture-set-a--ecu--mpx--cluster-electrical-baseline,false,true,Capture MPX1 MPX2 KOEO connected/disconnected differential tach at E3-27 and cluster plus MIL W electrical behavior while the known-good PowerFC baseline still exists
STREET-012,Capture fan A/C and cluster warning behavior before ECU removal,ready,vehicle-test,90,car,0,critical,,,PRE_EMU_BASELINE.md#capture-set-b--retained-vehicle-functions,false,true,Record cooling-fan relay truth table A/C input/output behavior cluster oil-warning source and coolant-gauge sender topology before standalone conversion
STREET-013,Physically verify first-pass OEM engine connector kits,ready,verify,60,garage,0,high,,,HARNESS_CONNECTORS.md#arrival-inspection-procedure,false,true,Ballenger kits received 2026-09-01; stored together in a large ziplock bag on top of the built engine. Test-fit each unique housing on every intended 2ZZ or late-DBW device and record latch/keying molded markings terminal/seal details and photo evidence before promoting it to physically verified
STREET-014,Bench-validate EMU Black and 2ZZ crank/cam trigger strategy,doing,bench-test,90,desk,0,high,,,EMU_COMMISSIONING.md#6-bench-validation-plan,false,false,Use Arduino Uno plus Ardu-Stim to reproduce the actual 2ZZ crank/cam strategy; scope both signals and verify stable EMU sync and commanded RPM tracking before real-car installation
STREET-015,Verify 2003-2005 Celica GT-S OEM ETB on 2000 intake manifold,blocked,verify,45,garage,0,critical,,,BASELINE_PLUS.md#8-open-physical-verification-gates,false,true,Used OEM late-Celica 2ZZ ETB ordered 2026-09-07; check bolt/stud pattern bore/gasket alignment motor clearance connector and charge-pipe orientation
STREET-016,Build and bench-validate Baseline Plus sub-harness,blocked,bench-test,180,desk,0,critical,STREET-015;STREET-019,,BASELINE_PLUS.md#6-baseline-plus-sub-harness-wiring-diagram,false,true,Repin/rewire VVT to AUX6 with switched +12V; bypass HB1A/HB1B to ETB; add redundant TPS/PPS flex fuel Link MIPS fuel/oil pressure native LSU 4.9 and G22/INJ6 MAC boost-solenoid wiring with external flyback diode; prove calibration plausibility and failsafes before vehicle install
STREET-017,Archive current PowerFC calibration before removal,ready,document,60,computer,0,critical,,,PRE_EMU_BASELINE.md#capture-set-c--powerfc-calibration-reference,false,false,Preserve a Read All/Save As FC-Edit map; archive ignition VVT fuel/base maps axes VTLI/rev/idle settings injector settings and correction data as a known-good historical reference rather than a directly transferable EMU calibration
STREET-018,Capture controlled PowerFC datalogs before removal,ready,vehicle-test,120,car,0,critical,,,PRE_EMU_BASELINE.md#capture-set-d--powerfc-datalog-protocol,false,false,With FC-Datalogit and AN1 wideband verified capture cold start hot restart hot idle A/C load steady cruise light transient decel lift transition and one unchanged-current-boost full-load reference only in a safe controlled setting; preserve raw logs and note fuel/boost/hardware state
STREET-019,Procure Baseline Plus controls and protection package,ready,buy,60,computer,,critical,,,BASELINE_PLUS.md#3-baseline-plus-buy-list,false,true,Buy Radium 20-0589 GM/Continental 13507129 two Link MIPS 101-0325 150-PSI sensors Bosch LSU 4.9 0258017025 MWR-901465 sandwich plate oil-pressure remote-mount plumbing and a suitable external flyback diode for the owned Tru-Boost MAC valve; hold Radium line-end adapters until feed hose size and oil-sender hose length are physically verified
