id,task_id,stage,system,item,part_number,qty,state,vendor,url,price_usd,price_checked_at,track_price,notes
PUR-STREET-001,STREET-019,Baseline Plus,Flex fuel,Split-flow housing,Radium 20-0589,1,buy,Sport Compact Warehouse,https://sportcompactwarehouse.com/radium-split-flow-flex-fuel-sensor-adapter-20-0589/,94.95,2026-09-09,true,Selected split-flow flex-fuel housing
PUR-STREET-002,STREET-019,Baseline Plus,Flex fuel,Ethanol-content sensor,GM/Continental 13507129,1,buy,GMPartsGiant,https://www.gmpartsgiant.com/parts/gm-sensor-asm-flex-fuel-13507129.html,116.55,2026-09-09,true,Genuine GM/Continental sensor
PUR-STREET-003,STREET-019,Baseline Plus,Pressure protection,Fuel and oil pressure sensors,Link MIPS 101-0325,2,buy,RAV Performance,https://www.ravperformance.com/products/mips-150psi-pressure-sensor-1-8-npt,130.00,2026-09-09,true,Unit price; quantity two
PUR-STREET-004,STREET-019,Baseline Plus,Lambda,Wideband oxygen sensor,Bosch LSU 4.9 0258017025 / 17025,1,buy,AWD Performance Parts,https://www.awdperformanceparts.com/product/bosch-oxygen-sensor-lsu-4-9-17025-0258017025,114.79,2026-09-09,true,Bosch authorized-dealer listing
PUR-STREET-005,STREET-019,Baseline Plus,Oil system,Oil-filter sandwich adapter,MWR-901465,1,buy,Monkeywrench Racing,https://www.monkeywrenchracing.com/product/mwr-oil-filter-sandwich-adapter-oil-temp-pressure-turbo-feed/,39.00,2026-09-09,true,Selected 1ZZ/2ZZ sandwich adapter
PUR-STREET-006,STREET-019,Baseline Plus,Oil pressure,Block adapter,3230-2-3AN,1,buy,Pegasus Auto Racing,https://www.pegasusautoracing.com/productselection.asp?Product=3230,8.04,2026-09-09,true,1/8 BSP male to -3AN male; verify actual Toyota port before order
PUR-STREET-007,STREET-019,Baseline Plus,Oil pressure,Sensor-end adapter,3254-02-03C,1,buy,Pegasus Auto Racing,https://www.pegasusautoracing.com/productselection.asp?Product=3254,11.49,2026-09-09,true,Stainless 1/8 NPT female to -3AN male adapter
PUR-STREET-008,STREET-019,Baseline Plus,Flex fuel,Housing end adapters,10AN ORB to actual feed-line size,2,hold,,, ,2026-09-09,false,Do not buy until actual feed hose size is measured
PUR-STREET-009,STREET-019,Baseline Plus,Lambda,LSU 4.9 mating connector and terminals,OPEN,1,hold,,,,2026-09-09,false,Confirm whether supplied with harness before sourcing
PUR-STREET-010,STREET-019,Baseline Plus,Oil pressure,Remote -3AN hose,OPEN,1,hold,,,,2026-09-09,false,Hold length and end geometry until bracket location is mocked up
PUR-STREET-011,STREET-019,Baseline Plus,Boost control,Flyback diode,OPEN,1,hold,,,,2026-09-09,false,Select after MAC coil and suppression behavior are verified
PUR-STREET-012,STREET-008,Street Build,Tires,Street-performance tire set,OPEN,1,source,Tire Rack,https://www.tirerack.com/tires/, ,2026-09-09,false,Selection is still open; use this as sourcing entry point rather than a tracked SKU
